text,date,recipient
"My dear Mother I hope this finds you as it leaves me at present. I have got a moment to write to explain what has happened since I received orders for abroad I left Farnborough with the transport, as you will remember I told you on Monday morning to embark on the South Coast We were ready to board ship at 3 o'clock and embarked by 4.30 We left port at 5.30 and had a very interesting journey across with an escort to look after us but I suppose I mustn't say much about it. While I got a bed in a cabin the men were all lying down below with the horses and miles on the Emigrant deck above (the ship is usually employed in sailing from Europe to America with cargoes of Emigrants) and very uncomfortable they were. However as the ship was about 10000 tons there was simply no motion of any description and the passage was perfect. We reached the other side about 5 but did nothing [illegible word] when five officials boarded and we were allowed to collect everything & disembark – In the process they threw some of our ammunition overboard and all our pack saddles disappeared which were probably purloined by someone else – However we had to the ordnance about them & got them in exchange. We left dock at about 2 & had some hours before leaving which we spent in a rest camp. I got a few hours off in the afternoon to go up to the remount camp to see Cecily as I daresay she told you. We left the camp at 11 & on getting to the station had to load up our wagons & horses for which they gave us 4 hours. The arrangements were very bad & it took us all our doing to get on board but we were ready by 4 am & left then. We had one or two little incidents as the mules were fearfully obnoxious & one of them nearly strangled himself by getting down between the train & the platform & another absolutely refused to go on board at all. Luckily they did not belong to us but to another battn. We had a very slow journey across country & got to our destination at 6 where we detrained & had orders to go into billets for the night & meet the rest of the Battn the next morning & come with them out here It was rather a game getting into billets as it was dark & no one knew their way about. However we were in by 9:30. I split a bedroom with the O/C the other party had to sleep on the floor in consequence. We met the rest of the Battn. the following morning & had a 12 mile march out here – where we are in billets. This is quite a small place about 200 inhabitants & the men are billeted all about the village in barns. The barns are filthy, but the take it in good part & we shall get them clean in time. Headquarters are in the local school which is not closed & the companys have various messes in different farms I dined out with A Cy last night & found them very comfortable. I sleep with the CO in the Mayors house about 5 mins. walk away & am quite comfortable there. Yesterday we spent in getting the billets into some sort of order as it rained hard all day. To day we are having the Companies out but it is still very wet. We expect to be here about a week & then move further up country where no British troops have been yet. The British Tommy is very amusing to watch. He is quite at home & armed with w small phrase book can get most of the things he wants. A lot of them are helping to milk the cows etc & generally making themselves useful & I expect it pays them – I came across one yesterday who was in great trouble as he had dropped the farm bucket down the well, but was quite unable to explain what he had done. Fathers mouth organs are a tremendous boon & I heard most dismal noises proceeding from a farm last night which proceeded from one of them, while the platoon sat round & howled in unison – I will write again soon but the supply wagon will shortly be returning & this letter has to go with it. Yours Jack. ",1915-09-04,Charlotte Peirs
"My dear Family. Very many thanks for your letters & for the mosquito & fly lotions. We are not bothered by either insect here though they may come in useful later on. I hope you are enjoying the weather we are having here. it is simply perfect. On Monday our Corps Commander turned up at the Brigade Hqrs about 4 miles off & all the officers had to go over & see him while the men went on a route march. Yesterday we had to have a field day for his benefit & he expressed himself as satisfied & went off so I hope we shall not be worried by him again for some time. We thought we had done with all the Aldershot business when we left & it is rather annoying to start it again over here – especially as it only makes everyone rather stale. I had got another horse now which we secured at Havre & have given over my other to the Doctor. The new one is a Canadian Heavy & in poor condition but is a good deal larger than the other & will carry me better & when fed up he should be about the best animal we have got. So I am rather pleased with him. We (the officers) were all photographed by Gale & Polden Aldershot before we left so you should be getting some copies from them before long. I couldn't order them myself as I had to leave before the proofs were ready but someone else ordered them for me I believe. There were no chance to get the Battalion photographed as a whole. We are still in the same village & not likely to move for the present I believe. Anyhow we are safe to remain till the end of the week. At times we can hear the guns at the front, bit very faintly. They must be 30 miles away – at least. The post reaches here one once a day. It is brought up with our supply wagons & we send out our mail when they go back. The supplied come from the A.D.C. depot about 6 miles off. We are still rather looked on as wandering sheep by the authorities. Anyhow we do not get things anything like as easily as they do further up but of course we are rather off the line. Anyhow I daresay when they discern we are here we shall get papers & letters less than 3 days after they are sent off. The Cos son who is in the Cavalry Signalling Corps was over here yesterday on a motor bike & he gets his Daily Mail on the afternoon of the day it is published. 3 of our officers have gone up in a bus to day for instruction in the trenches & I daresay they will send some more up when the first lot come back. Our feeding arrangements are still rather primitive, but that is the penalty of being in an empty house – the Dining table is made out of an inverted bedstead with two of the school blackboards placed across it & the seats are boxes which after a bit seem rather hard however our latter ends will get used to them all right eventually. My bedroom cher m. ls marine is very comfortable though he and his family do not appear to wash much – their appliances are very deficient & he confesses that when anyone wants a bath they have to get down to the station & go some mules by train to find it. I fancy that all the baths in this country have been marked down by the British officer & are stored on the map as highly important features – The supply wagon has arrived & is just returning so I must cease. I will write again shortly Love from Jack. ",1915-09-08,Family
"My dear Family. Many thanks for 3 more letters. Its no use strafing me because I don't write. This is the 3rd letter & APC that I've sent since weve been out & I only left England last Monday week. To had the impudence to say that I didn't write & I find that odd has been putting him up to it. You ought to be as sincerely grateful for my letters as I am for yours – well to continue where I left off (which seems about 2 hours ago) we had nothing much to do on Thursday except shooting & I rode over the place all morning with the C.O. The partridges here would delight J.R.P.'s heart & I would very much like a go at them, but it is not allowed for one thing & for another & more important thing I have only got a revolver to go for them with. So the Partridges go unscathed. Yesterday was a similar day but just after lunch we got the cryptic message ""move"", so we had to set to & get ready to go. We had every thing ready in an hour & then we were told that it was cancelled so we went back again, the only consequence being so far as I am concerned that I lost my razor & am now feeling like a clothes brush - However it has turned up & I shall be smooth again shortly - To day we have been on a Divisional show with the 73rd BOC about 5 miles away. Luckily we were in reserve and didn't have much to do & when we did the whole thing seemed to be fairly muddled. However the G.O.C. said we did all right & everyone patted everyone else's back at the pow wow & the Corps Commander turned up and said he was very pleased, so we got back at 2.30 seatheless . To-morrow we should only have Church Parade, unless the Brigadier sees fit to have us out, but he has been ill for the last 2 days so let us hope he remains so. Out 2 fellows have returned from the trenches where they had a very interesting time & are chiefly impressed by their comfort – once you are in, they do leave you alone, or more or less so – apparently there was very doing in the part where they were, though their was some shelling further south & I can hear guns going to-day. We have been warned of a couple of spies in the neighbourhood & last night a sentry help up a Res X Car & as it refused to stop, he fired a shot over it. It stopped at once & 2 Drs got out with their hands up, very agitated – we are rather pleased that the 1st shot of our campaign should have been fired at our own men & in addition to a Res X Car I had occasion to take the skin off our Transportation Officer the other day. I heard afterwards that he pathetically remarked to someone that he wished he had gone into the Navy. So my powers of invective must be improving – we have now got a number of men billeted on the manor & they pervade his farm. As my window looks over the farm yard & they have established their kitchen in the middle , I hear a good deal of them They are amusing blokes & one of them is now setting all the fowls in the neightbourhood agog by crowing like a cock – I can hear cocks all over the place answering him – they were allowed to do the field day to-day without their packs & it is extraordinary what a difference it makes – it quite upset our calculations as to the time we should get to the rendezvous this morning & we arrived there 20 minutes early – Very many thanks for your suggestions for sending things. I have given an & should get all I want Send out weekly We are not absolutely away from civilization as there are towns fairly close where we can get anything from whiskey downwards - When we get further up country we should be quite all right – Perhaps an occasional cake would be welcome but that is all I can think of at the moment – The newspapers are arriving though rather irregularly, but as I have said before, we are no mans child at present & things will be better later on – I hear we are drying up the village wells, so we may have to move out, even if we don't go from the district – However this is only my idea & the wells may be all right Yours, Jack ",1915-09-11,Family
"Dear Odd, I enclose a cheque for £1- would you mind getting something for G. somewhere & sending it to her. I have written to tell her to expect something. We have had no orders to move yet. Another gorgeous day & incidentally the anniversary of the formation of the Battalion. Nothing doing except church parade in an orchard this morning, where I went & indited letters. Lunch with A. Coy on good English Beef washed down with cider, which is a filthy drink [to] have & since then I have been watching portions of B Coy sweating like little beavers playing footer in the only meadow, which is big enough for the purpose. It is full of mole hills & has a large ditch down the middle. Otherwise the conditions are ideal – the footer war poor, but as Tommy was nearly as bad as the other I imagine the conditions were hardly suitable. To-night I sup with B Coy, then a little poker & home to bed. I hope mother will approve of my Sabbath. I went into my billet just now & found the whole family & a caller gathered round the drawing room table, drinking & making merry & as my bed-room leads out of the drawing room I had to make my apologies & break in. They were still drinking when I came out about 1 hr later, so I shall expect to find them (blast this ink) [begins to smear] all under the table when I go back to-night. They thrash the corn in a most unusual way here – by horse power. They have got machines like tread mills & the horse is solemnly put on this & by walking constantly up hill, the thing he stands on moves away & the corn is thrashed. This doesn't sound very lucid, but if you turn it upside down you may make something of it. I find that we are in a district called Artois & the natives are called Artesians. They are the inventors of Artesian wells, as no doubt, dear child, you well knew & are generally regarded as the biggest fools in France. Their womankind certainly look very sheep like & the old men like rams. The young ones I have not seen as they are all a la guerre. The products of the country are chiefly pigs & cider (& I regret to say that the men have now found another known as brandy actually Mathy lakes (??) Spirit of the Strongest). I found one drunk on Friday & most peculiarly so & another one last night – but it will not occur again or the ladies who own the Estaminets will get bolted. Love from Jack. ",1915-09-12,Olive Peirs
"My dear Mother, Many thanks for your letter & newspapers received this morning. We had another slack day yesterday shooting & such like only the natives are such idiots that they didn't realise the danger & insisted on gathering in the corn just behind the butts or ploughing just in front of them. They have quite changed from the fright they had when we first started. We started out for a long field day this morning, but as it rained hard & the men have only one suit of Khaki, they sent us back just in time before the fine weather came on, in which we have been basking since. They are going to take us out again I think, so we shan't get off it. I hear that in the local county town on Sunday the Priest preached a sermon on the good behaviour of the West Kents, who are billeted there. We are far more innocent than they so we should probably have been garlanded with wreaths if we had been there. Apparently they are greatly surprised that they can go about their streets without being molested, and that their orchards are not robbed. I am not so sure of the orchards, as one notices men bumping up against apple trees, quite accidentally of course, & their palls strolling up shortly afterwards & happen to find a few windfalls, which have been examined to find that they are much bruised & when it is found that they are covered with bruises, it is a mistake to put them back as they would only make the good ones rot, when they fell. We have got a grenadier Corporal over here now, trying to teach us to throw bombs, but he is a priceless ass & we know as much about it as he does. I was throwing one to-day & found out afterwards that it was a real one. Apparently they are practicing with real ones, fully charged, but without the detonators. However no one seems to mind. We sent out machine gun officer on a course at Hqrs. last week & he came back disgusted, as he knew more about it than any of the instructors & the whole thing was a farce. Incidentally he had to live in a filthy camp, which is occupied by swarms of bugs of varying kinds & we are now disinfecting him. So I am becoming prepared for the joys in store. I hear the Zepps. were right over the West End of London last week & got a number of houses in Holborn & near St. Pauls. They also say that one was brought down at Hendon, but I don't know if it is true, though one of our fellow's parents say they have been up to see it. Love from Jack.",1915-09-14,Charlotte Peirs
"My dear Family, Very many thanks for letters from F.M.&O. also for a large parcel from O of various delicacies. As a matter of fact I have chocolate & cigarettes from Harrods regularly, but the cake & chocolate biscuits were quite welcome to the mess & have by now been devoured. We are still in the same place & they don't seem to be in a hurry to move us. I believe we are going out to-night to practise a concentration of troops & it looks as if we are going to have a lovely night for the job. If we stay here till the beginning of next month we shall have to find a new Headquarters as I believe the school is to re-open then. We have already been looking out for a mess room in place of the very uncomfortable one we have got upstairs & have found it in a farm near by. We are at present negotiating with the Landlady who is evidently awful fond of money & she wants the equivalent of the rent of the whole house for it. However we may let her down in time. It is extremely hard to find anything to say about this place. We perform the trivial round daily & so far as I am concerned this is extremely trivial as I have nothing whatever to do except to wander round and criticise people who know how to do their job much better than I do. One humorous thing I noticed today. I was watching A. Coy practicing scratching yesterday. This sounds uncleanly but it is in fact the process you go through when unable to advance under fire & you lie down & dig a hole for yourself with an entrenching tool which is carried for the purpose. When they had dug their holes, which of course look like a line of graves when finishes, they have to be dilled in & I noticed to-day that each grave has been finished with a little + a tombstone at the head. It was most pathetic till you realised what the young devils were like, who treat such topics so lightly. I went to watch the machine gunners to-day practising. They have dug themselves a beautiful little trench all tunnelled and replete with dug-outs & hidden loop holes etc. They did some firing against a neighbouring hill but the bullets must have been richocheting all over the place but I trust that no one was been killed. If any corpse is brought in it will be decently buried but not a word said. My only entertainment lately has been in ragging the brigade office. Their Staff Captain is quite a decent fellow but rather too big for his boots & carries on as tho he was incapable of making mistakes. We caught him out yesterday in making 3 distinct & several errors & spent several hours in concocting cryptic & sarcastic answers. The adjutant saw him to-day with the intent of rubbing it in but he wouldn't wait. But I think we have triumphed. We have still been left severely alone by the Brigadier lately but the C.O. has had to ride over to-day to see him, so it looks as if that great and good man is re-awakening & we shall have to begin to mind our ps. & qs. As regards footballs, we should like a couple very much later on, but at present we have 2 new ones each per company, which are quite enough to go on with. I get some revolver practice most days & am becoming quite a fair shot with both hands. I go out with the C.O. & the poor old chap gets very annoyed, as he used to be a good shot (so he says) but he cant hit a hay-stack now. He gets so awfully nervous & rattled nowadays that Lord only knows what he will be like when we get further up. I suppose it will be my job to keep him soothed, though I don't fancy it very much, I return a letter addressed to Col. Peirs which is intended for father on the subject of discs together with a p.o. for father therein. Would you mind arranging for the Autocar to be sent to me weekly & the Locomotive Magazine Monthly. Uncle Jos has made me a sort of offer for the pram but I am not keen on selling it unless to get something more suitable as the family go-cart. However I will wait to hear from him. Lest I forget I don't think the pram is registered in my name. Anyhow I have not paid any tax on it, so if father would mind writing a line about it & let me have the form to sign when he gets back to town I shall be much obliged. I suggest that the Surrey people at Kingston are the best to approach as the London C.C. ones will want to fine me if they discover that I've had it so long without paying tax or transferring it into my name. Those idiots I got it rom promised to transfer it had have not done so. I think the Surrey Council will probably give me a new number without asking questions & Wardhill can they paint it on. I hope some of you will soon learn to use it, as it is only eating its lead off & I should like to hear that you are having runs in it. Yours Jack.",1915-09-17,Family
"My dear Family, Another Sabbath & still where we were. A beautiful day & I am writing in the orchard behind our headquarters. There are not many apples left & I presume that others have been here before me. We had a very gruelling day yesterday. We got our orders at 10 p.m. on Friday to leave at 2 a.m. & to march 8 miles to a concentration & then to attack. This meant my getting up at 1:30 & we got to the place all night at about 5:30 & then I think the Staff found out they had made a mistake & the attack was supposed to begin at dawn & in face it had been light for a long time. There was a thick sea mist all the early morning, but that cleared off & we had breakfasts & strolled rather aimlessly across country for 3 hours & then another 8 miles home. It was then very hot & the men felt it very much as they had had little or no sleep & only 1 meal in the 12 hours. We got in about 2 & so to bed. We had no mail yesterday & it is not come in yet to-day 2.15, so have no letters to acknowledge except father & others on Thursday & Friday. Frosard the padre came over to take service to-day. He now lives over at Headquarters with the General. He has no information to give us except that he had gleaned from his brother, who is in the French Army that things were going very well & that there are horrid things in store for the Bosches, but the time when I suppose I should not say. The French are much less keen on Censorship as we are & take as many photos as they like. I don't think it matters much whether there is a Censorship or not as for instances Henriques our machine gun officer has just come back from 24 hours in the trenches & has a story that 2 days before he was there the Canadians were he was with had brought down an aeroplane & had found maps of all their trenches with the dug-outs marked & a black ring put round the Cos dug-out. Incidentally that dug-our had been heavily shelled & destroyed just before & they were then building a new one. So if they knew such details as that there cant be much they don't know. I wonder if Olive ever got my letter containing a cheque to be spent for Gs birthday. If not I wonder if someone would mind spending £1 for her & I will send another cheque. A Coy. Have rather an amusing mess here as they are in a farm & very comfortable, but their room has no door except into the family bed-room in which the two daughters of the house sleep. So if they return late, they have to stroll through the damsels room, while they are in bed or get in through the window. Now that Jerry has cut his hand in falling in through the window, I suppose that method of ringens is closed, so they will have to put a bold face on it % invade the damsels room. Luckily the damsel mint it far less than Jerry & Peter. With regards to sending things out, I am very much obliged for the suggestion, but I am supplied regularly with tobacco & cigarettes & we have ordered a box of things to be sent regularly by Fortnum and Mason to supplement the ration. However a small unexpected delicacy is always welcome, but nothing very large in quantity as we are limited to the amount we can take about with us & until we are fixed up for a definite period I think it will be better not to have too much. We are only supposed to take 35 lbs. of personal things with us & I have got about 70 lbs. now. Tho of course I've got a horse to convey the extra amount & the amt. carried in the baggage train does not exceed the 35 lbs. The Censoring of letters here is a most unholy job. I think all our men in their spare time must be authors or at any rate newspaper men. They write reams daily which all has to be censored by the Coy officers before it goes off. We encourage football & such to keep them from writing but it appears to have no affect. I am not directly concerned for as I have said before I have nothing on my hands at all, but it makes the Coy officers blaspheme as it is all done by candle light. I was doing the same the other day & I came across one young devil who wrote 2 love letters by the same post to 2 different young ladies, one in Worthing & the other in Brighton so he had not been wasting his time. The post has just arrived & I see I have 3 letters. Fathers on 16th & a parcel of quails, mothers of 16th & Cecils of the 12th. The quails might be v. useful but they are rather heavy & the question of weights arises again. The way to address me is as you like except that 8th Queens B.E.F. is all you should give in the way of distinction. They hold them up for a day or two at the Post Office if you add the Division or Brigade & they send them on with a printed slip pasted on the back to say that the Division & Brigade are not to be mentioned though none of mine have been hung up yet. I am writing to C& G by this post a similar letter so you needn't worry to send this on, tho Olive might like it. Yours Jack. ",1915-09-19,Family
"My dear Family, I hope this finds you as it leave me at present. Am looking forward to a new billet as am under orders to move to-night & you must guess the place as I can hardly tell you its name, but it is about 10 miles rom here. As we are moving we have had no mail, but should get one when we reach the new place. There were tremendous rumours that we were through the Dardanelles yesterday but the are probably not true. However as they arose from the local postman they may not be so incorrect as usual. The CO has gone ahead to-day to spy out the country, but will be back to-night or we shall meet him on the way. They had a respirator test here the other day when one of these Staff people came along with a cylinder of Bosch gas & filled a trench with it & then people walked through it & came out coughing & spitting but all safe. The respirator is just like a sack to fit over the head & neck & fitted with a piece of talc to look through. The talc has a habit of splitting & letting the gas in. Then of course the thing is of no use. You feel nearly suffocated when you put the thing on but some get used to it. They also give us a 2nd kind to use in addition which is merely a pad to put over your mouth & nose. I believe that eventually they are going to serve out a thing which is good against every sort of stink known or unknown, but it has not arrived yet. I have just given my tunic to my servant to sew a pocket on the inside to keep these things in as they are both saturated with chemicals & drip ceaselessly. Rather good story overheard after that long day last Saturday morning. As the G.O.C. was getting into his car to go home, ""E gets off his orse & gives it to his groom & E gets into his motor & E as a whiskey & soda & E looks out of the window & says I wonder 'ow these poor beggars will het 'home & off E ops. I must now cease as I am going to get my hair cur preparatory to our move. Yours, Jack. ",1915-09-21,Family
"My dear Family. You will have to read this as a continuation of my last which I hope to be able to send off with this to-morrow. While we have been on the march, we have had no chance of sending off letters. I got a mail to-day including mothers letter of the 19 and fathers of the 18 and Olives of the 18 also two magazines from mother for all of which I am much obliged. I have just heard that an excited French interpreter has passed through today and said that the allies are through the Bosches line and have begun their advance but this is probably one of the usual sort of rumour. We had a very heavy march last night 19 miles which is more than enough for men with packs. It is a lovely night with brilliant moonlight, and ideal for a march of reasonable distance. Yesterday morning we spent in billets resting after the previous night. There was a river in the place and the men had a bath and enjoyed it very much. I was in the drawing room of an empty house with the other officers of the Hqts staff except the C.O. who had a bed in a farm. It was a beautiful morning and I spent part of it sleeping out on the river bank. The natives both male and female were strolling up and down while our fellows were bathing but no one minds the little things here. We moved on about 6 o'clock and had a simple hill to climb a little way along and we thought the transport would never get up but when they got into it they went up like birds. We got our to our billers which were at the beginning of district what I am and were ------ . very few of the men were under cover but it was a fine night and the men slept out quite comfortably in orchards and fields. To-day has been fine but a thunderstorm has come on to-night and it has begun raining. However we have got more of the men under cover and those who are not have put up bivouacs for themselves. My own billet is in a house and I have a bed but I am rather frightened of it and slept last night in my valise on top of the bed and was quite comfortable. The bed is in a curious little room leading out of our feeding room and is raised up about by steps – I don't know what is underneath my room but it is something pretty swiffy . The whole place has a peculiar reek and I can't quite analyse it yet but two of the constituents are pigsties and general filth. I will let you know the rest when I find them out. The place owns a large shell factory which is periodically bombed by German aeroplanes. And the distinct generally seems pretty busy, as there is a bit of traffic and shouting going on at night. We ran into a little of the local pave' road last night but we got off it soon as it is infernal stud to march on. I hear there is another mail in to-nights so I may get more letters and possibly some newspapers, which will be interesting as I have seen no papers since Monday. Yours, Jack. ",1915-09-23,Family
"My dear Father, I am too miserable for words. We have had a most awful doing and are reduced by half, the C.O. and Charlie Crossy both killed and probably 3 more and the rest out of 12 wounded. We went into action on Sunday with 20 officers and 10 came out. I am quite all right, tho why I wasn't touched I don't know. The Brigade is reduced to about 1500 and I believe we are to go back to reform. The men were wonderful and tho caught on the flank by machine guns and later on by wire they went on as if on a field day and when they couldn't get through the wire the strolled back. I got left behind on a flank with a platoon and had an awful job to get back over 600 yards of open ground with snipers at us all the time. We got into the trenches on Saturday night and the attack came off at 11 on Sunday. We were only warned ½ hr before and we got caught because the Brigade on our flank let us down. The G.O.C. of the Division and Brigade have both complimented us on our showing and except for the misery of having such a fine Brigade cut up, I should feel quite proud but I am simply heart broken now. The Corps Commander has also congratulated us and said the losses were not in vain as the attack kept 18 Battalions of the Bosches from going to help against the French. I will write more when I feel more cheerful and will give you as full a description as I can. The map of our distinct appeared in Monday's Telegraph showing the district where the operations went on on Saturday and we went over the same ground on Sunday. Yours Jack. Please don't say a word about Charlie as they had getter get the official information first and I do not know absolutely for certain that he is killed as no one has seen his body, but I am afraid he is. Jo is wounded, but only in the foot and should be home soon. His mother at Mount Herman Road Woking will give you his address and if in town he may be able to tell you about it all. ",1915-09-28,Hugh Peirs
